,Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,Weekend,Revenue,Returning_Visitor
4,0.0,0.0,0.0,0.0,10.0,627.5,0.02,0.05,0.0,0.0,0,3,3,1,4,1,0,1
5,0.0,0.0,0.0,0.0,19.0,154.2166667,0.015789473999999998,0.024561404,0.0,0.0,0,2,2,1,3,0,0,1
9,0.0,0.0,0.0,0.0,3.0,738.0,0.0,0.022222222000000003,0.0,1.0,0,2,3,1,2,0,0,1
10,0.0,0.0,0.0,0.0,3.0,395.0,0.0,0.066666667,0.0,0.0,0,1,1,3,3,0,0,1
11,0.0,0.0,0.0,0.0,16.0,407.75,0.01875,0.025833333,0.0,1.0,0,1,1,4,3,0,0,1
12,0.0,0.0,0.0,0.0,7.0,280.5,0.0,0.028571429,0.0,0.0,0,1,1,1,3,0,0,1
13,0.0,0.0,0.0,0.0,6.0,98.0,0.0,0.066666667,0.0,0.0,0,2,3,1,3,0,0,1
15,2.0,53.0,0.0,0.0,23.0,1668.285119,0.008333333,0.016312636000000002,0.0,0.0,0,1,1,5,3,0,0,1
17,0.0,0.0,0.0,0.0,13.0,334.9666667,0.0,0.007692308,0.0,0.0,0,1,1,1,4,1,0,1
19,0.0,0.0,0.0,0.0,20.0,2981.166667,0.0,0.01,0.0,0.0,0,2,3,4,4,0,0,1
20,0.0,0.0,0.0,0.0,8.0,136.16666669999998,0.0,0.008333333,0.0,1.0,0,2,2,5,1,1,0,1
22,0.0,0.0,0.0,0.0,3.0,105.0,0.0,0.033333333,0.0,0.0,0,3,2,1,5,0,0,1
25,0.0,0.0,0.0,0.0,5.0,156.0,0.0,0.04,0.0,0.0,0,1,1,5,3,0,0,1
26,4.0,64.6,0.0,0.0,32.0,1135.444444,0.002857143,0.00952381,0.0,0.0,0,2,2,1,3,0,0,1
28,0.0,0.0,0.0,0.0,4.0,63.0,0.0,0.05,0.0,1.0,0,2,3,1,3,0,0,1
31,0.0,0.0,0.0,0.0,3.0,78.0,0.0,0.066666667,0.0,0.0,0,1,2,5,5,1,0,1
32,0.0,0.0,0.0,0.0,8.0,209.5,0.0,0.025,0.0,0.0,0,2,2,1,1,0,0,1
34,0.0,0.0,0.0,0.0,14.0,380.5,0.014285714,0.028571429,0.0,0.0,0,2,2,1,1,0,0,1
35,0.0,0.0,0.0,0.0,52.0,2086.242857,0.015384615,0.020352564,0.0,0.0,0,2,2,5,1,0,0,1
36,0.0,0.0,0.0,0.0,8.0,388.0,0.025,0.05625,0.0,0.0,0,3,2,1,4,1,0,1
37,2.0,18.0,0.0,0.0,5.0,298.0,0.0,0.028571429,0.0,1.0,0,2,2,5,4,0,0,1
38,0.0,0.0,0.0,0.0,7.0,63.0,0.028571429,0.071428571,0.0,1.0,0,2,2,1,3,0,0,1
39,0.0,0.0,0.0,0.0,9.0,482.0,0.0,0.022222222000000003,0.0,0.0,0,2,3,1,5,0,0,1
41,0.0,0.0,0.0,0.0,3.0,22.0,0.0,0.066666667,0.0,1.0,0,1,1,3,2,0,0,1
42,0.0,0.0,0.0,0.0,15.0,310.1666667,0.0,0.006666666999999999,0.0,0.0,0,1,1,4,4,0,0,1
43,0.0,0.0,0.0,0.0,2.0,34.0,0.0,0.05,0.0,1.0,0,3,2,2,3,0,0,1
44,0.0,0.0,0.0,0.0,4.0,88.0,0.0,0.05,0.0,0.0,0,4,1,1,3,0,0,1
45,0.0,0.0,0.0,0.0,22.0,622.25,0.003030303,0.006060606,0.0,1.0,0,2,3,1,4,0,0,1
46,0.0,0.0,0.0,0.0,14.0,222.4,0.017142857,0.05714285700000001,0.0,0.0,0,1,1,1,2,0,0,1
48,0.0,0.0,0.0,0.0,11.0,800.8333332999998,0.0,0.003636364,0.0,0.0,0,3,2,1,3,0,0,1
51,0.0,0.0,0.0,0.0,12.0,265.1666667,0.011111111000000002,0.026111111,0.0,1.0,0,3,2,1,3,0,0,1
57,4.0,56.0,2.0,120.0,36.0,998.7416667,0.0,0.014736467,19.44707913,1.0,0,2,2,4,1,0,0,1
58,0.0,0.0,0.0,0.0,4.0,104.0,0.0,0.05,0.0,1.0,0,2,3,5,3,0,0,1
59,2.0,16.0,0.0,0.0,16.0,381.6865079,0.011764706000000002,0.046568627,0.0,1.0,0,2,3,2,1,0,0,1
60,0.0,0.0,0.0,0.0,6.0,169.0,0.0,0.016666667,0.0,1.0,0,1,1,3,3,0,0,1
62,12.0,279.4166667,0.0,0.0,42.0,1553.583333,0.009000000000000001,0.019666667,38.30849268,0.0,0,1,1,3,2,0,0,1
63,0.0,0.0,0.0,0.0,14.0,706.5,0.0,0.007142857,0.0,0.0,0,2,2,5,4,1,0,1
65,3.0,87.83333333,0.0,0.0,27.0,798.3333332999998,0.0,0.012643678,22.9160357,1.0,0,2,2,3,1,0,1,1
68,0.0,0.0,0.0,0.0,18.0,902.0,0.0,0.007407406999999999,0.0,0.0,0,2,3,2,4,0,0,1
71,0.0,0.0,0.0,0.0,20.0,197.3777778,0.025,0.0525,0.0,0.0,0,2,3,5,1,0,0,1
73,0.0,0.0,0.0,0.0,8.0,426.6666667,0.0,0.0125,0.0,0.0,0,2,3,3,2,0,0,1
74,0.0,0.0,0.0,0.0,3.0,135.0,0.0,0.066666667,0.0,0.0,0,2,3,3,3,0,0,1
75,0.0,0.0,0.0,0.0,16.0,588.3333332999998,0.0,0.025,0.0,0.0,0,2,3,1,1,0,0,1
77,0.0,0.0,0.0,0.0,2.0,76.0,0.0,0.05,0.0,1.0,0,3,2,3,3,0,0,1
80,0.0,0.0,0.0,0.0,7.0,208.0,0.0,0.028571429,0.0,0.0,0,4,1,1,5,1,0,1
81,0.0,0.0,0.0,0.0,4.0,270.0,0.0,0.016666667,0.0,1.0,0,1,1,1,3,0,0,1
82,0.0,0.0,0.0,0.0,6.0,39.5,0.0,0.02,0.0,0.0,0,2,2,1,3,0,0,1
83,0.0,0.0,0.0,0.0,12.0,375.0,0.016666667,0.058333333,0.0,0.0,0,3,2,4,1,0,0,1
87,0.0,0.0,0.0,0.0,3.0,138.0,0.0,0.066666667,0.0,0.0,0,1,1,1,3,0,0,1
88,0.0,0.0,0.0,0.0,7.0,337.5,0.028571429,0.023809524,0.0,1.0,0,4,1,3,3,0,0,1
89,0.0,0.0,0.0,0.0,19.0,620.0333333,0.0,0.007894736999999999,0.0,0.0,0,1,1,4,2,0,0,1
90,2.0,36.0,0.0,0.0,15.0,168.84615380000002,0.0,0.011764706000000002,0.0,1.0,0,1,1,1,3,0,0,1
93,0.0,0.0,0.0,0.0,13.0,649.25,0.0,0.015384615,0.0,0.0,0,2,2,1,5,0,0,0
94,0.0,0.0,0.0,0.0,27.0,925.3333332999997,0.003703704,0.025925926,0.0,1.0,0,4,1,3,3,0,0,1
97,0.0,0.0,0.0,0.0,4.0,105.0,0.0,0.025,0.0,1.0,0,1,1,1,4,0,0,1
99,0.0,0.0,0.0,0.0,16.0,644.2,0.004166667,0.031666667,0.0,0.0,0,3,2,3,4,0,0,1
100,3.0,18.33333333,0.0,0.0,38.0,2635.177778,0.0,0.008947368,0.0,1.0,0,2,3,1,2,0,0,1
101,4.0,61.0,0.0,0.0,19.0,607.0,0.0,0.026984127000000004,17.53595893,1.0,0,1,1,5,4,1,1,1
